"";"genotype";"generation";"m";"sigma_f";"fitness_advantage";"0.006";"0.03";"0.06";"0.09"
"1";"131_A";1;0,01;0,01;"5e-04";"0.0028 (0)";"0.0028 (0)";"0.0028 (0)";"0.0028 (0)"
"2";"131_A";25;0,01;0,01;"5e-04";"0.0071 (0.0016)";"0.0078 (0.0016)";"0.0093 (0.0016)";"0.0098 (0.0023)"
"3";"131_A";50;0,01;0,01;"5e-04";"0.0108 (0.0028)";"0.0135 (0.0032)";"0.0195 (0.0061)";"0.0317 (0.0111)"
"4";"131_A";75;0,01;0,01;"5e-04";"0.0142 (0.0033)";"0.02 (0.0046)";"0.0388 (0.0161)";"0.0554 (0.0213)"
"5";"131_A";100;0,01;0,01;"5e-04";"0.016 (0.0035)";"0.0268 (0.0075)";"0.0589 (0.0259)";"0.0631 (0.0263)"
"6";"131_A";125;0,01;0,01;"5e-04";"0.019 (0.0037)";"0.0342 (0.0105)";"0.071 (0.0288)";"0.0645 (0.0263)"
"7";"131_A";150;0,01;0,01;"5e-04";"0.0209 (0.0044)";"0.042 (0.014)";"0.0773 (0.0305)";"0.0658 (0.0273)"
"8";"131_A";175;0,01;0,01;"5e-04";"0.023 (0.0047)";"0.051 (0.0195)";"0.0785 (0.0306)";"0.0685 (0.0271)"
"9";"131_A";200;0,01;0,01;"5e-04";"0.0233 (0.0049)";"0.0582 (0.0213)";"0.0794 (0.0295)";"0.0692 (0.027)"
"10";"131_B";1;0,01;0,01;"5e-04";"0.0031 (0)";"0.0031 (0)";"0.0031 (0)";"0.0031 (0)"
"11";"131_B";25;0,01;0,01;"5e-04";"0.0082 (0.0017)";"0.0081 (0.0016)";"0.0078 (0.0016)";"0.0075 (0.0012)"
"12";"131_B";50;0,01;0,01;"5e-04";"0.0117 (0.0022)";"0.0123 (0.003)";"0.0106 (0.002)";"0.0092 (0.0024)"
"13";"131_B";75;0,01;0,01;"5e-04";"0.0147 (0.0039)";"0.0149 (0.0028)";"0.0118 (0.0049)";"0.0065 (0.0033)"
"14";"131_B";100;0,01;0,01;"5e-04";"0.0168 (0.0042)";"0.0166 (0.0042)";"0.0107 (0.0068)";"0.0058 (0.0039)"
"15";"131_B";125;0,01;0,01;"5e-04";"0.0186 (0.004)";"0.0168 (0.0044)";"0.0104 (0.0083)";"0.0054 (0.0034)"
"16";"131_B";150;0,01;0,01;"5e-04";"0.0202 (0.0028)";"0.0171 (0.0047)";"0.01 (0.0096)";"0.0052 (0.0032)"
"17";"131_B";175;0,01;0,01;"5e-04";"0.0208 (0.0037)";"0.0165 (0.0043)";"0.0098 (0.0096)";"0.005 (0.0028)"
"18";"131_B";200;0,01;0,01;"5e-04";"0.0218 (0.003)";"0.0151 (0.0044)";"0.0095 (0.0101)";"0.005 (0.0034)"
"19";"131_C1";1;0,01;0,01;"5e-04";"0.0034 (0)";"0.0034 (0)";"0.0034 (0)";"0.0034 (0)"
"20";"131_C1";25;0,01;0,01;"5e-04";"0.0088 (0.0017)";"0.0103 (0.0019)";"0.0119 (0.0017)";"0.015 (0.0034)"
"21";"131_C1";50;0,01;0,01;"5e-04";"0.0138 (0.0026)";"0.0187 (0.0044)";"0.03 (0.0062)";"0.059 (0.0149)"
"22";"131_C1";75;0,01;0,01;"5e-04";"0.0181 (0.0027)";"0.0284 (0.0065)";"0.0641 (0.0168)";"0.1121 (0.0297)"
"23";"131_C1";100;0,01;0,01;"5e-04";"0.0218 (0.004)";"0.0432 (0.0092)";"0.0968 (0.0288)";"0.1298 (0.0344)"
"24";"131_C1";125;0,01;0,01;"5e-04";"0.025 (0.0048)";"0.0577 (0.0115)";"0.1137 (0.035)";"0.1311 (0.0342)"
"25";"131_C1";150;0,01;0,01;"5e-04";"0.0265 (0.0046)";"0.0738 (0.015)";"0.1197 (0.0371)";"0.1298 (0.0338)"
"26";"131_C1";175;0,01;0,01;"5e-04";"0.0288 (0.0059)";"0.088 (0.0209)";"0.1242 (0.0422)";"0.132 (0.0338)"
"27";"131_C1";200;0,01;0,01;"5e-04";"0.0309 (0.0064)";"0.0968 (0.0246)";"0.1267 (0.0441)";"0.1345 (0.0329)"
"28";"131_C2";1;0,01;0,01;"5e-04";"0.0024 (0)";"0.0024 (0)";"0.0024 (0)";"0.0024 (0)"
"29";"131_C2";25;0,01;0,01;"5e-04";"0.006 (0.0012)";"0.0075 (0.0014)";"0.0087 (0.0013)";"0.0125 (0.0022)"
"30";"131_C2";50;0,01;0,01;"5e-04";"0.0095 (0.0022)";"0.0139 (0.0025)";"0.0278 (0.0048)";"0.0555 (0.0115)"
"31";"131_C2";75;0,01;0,01;"5e-04";"0.0129 (0.0024)";"0.0227 (0.0049)";"0.0648 (0.0113)";"0.1065 (0.0253)"
"32";"131_C2";100;0,01;0,01;"5e-04";"0.0158 (0.003)";"0.0353 (0.0077)";"0.1018 (0.0206)";"0.1214 (0.0281)"
"33";"131_C2";125;0,01;0,01;"5e-04";"0.0188 (0.0034)";"0.0474 (0.0088)";"0.1202 (0.0269)";"0.1243 (0.0305)"
"34";"131_C2";150;0,01;0,01;"5e-04";"0.0199 (0.0041)";"0.0612 (0.013)";"0.1287 (0.0288)";"0.1263 (0.0294)"
"35";"131_C2";175;0,01;0,01;"5e-04";"0.022 (0.0047)";"0.0738 (0.0151)";"0.1333 (0.0297)";"0.1256 (0.0294)"
"36";"131_C2";200;0,01;0,01;"5e-04";"0.0236 (0.0045)";"0.0855 (0.0153)";"0.136 (0.031)";"0.123 (0.0289)"
